"Time","Potential"
1803.05,102.2
1804.65,101.6
1806.25,101.0
1807.85,101.6
1809.45,101.0
1811.05,101.0
1812.65,99.8
1814.25,99.8
1815.85,99.2
1817.45,98.6
1819.05,98.6
1820.65,98.0
1822.25,97.4
1823.85,97.4
1825.45,97.4
1827.05,96.8
1828.65,96.2
1830.25,95.6
1831.85,95.6
1833.45,95.6
1835.05,95.0
1836.65,94.4
1838.25,94.4
1839.85,94.4
1841.45,93.8
1843.05,93.8
1844.65,93.2
1846.25,92.6
1847.85,92.6
1849.45,92.6
1851.05,92.0
1852.65,91.4
1854.25,92.6
1855.85,92.0
1857.45,92.0
1859.05,92.6
1860.65,92.0
1862.25,92.0
1863.85,92.0
1865.45,92.0
1867.05,92.0
1868.65,92.6
1870.25,92.6
1871.85,92.0
1873.45,92.0
1875.05,92.0
1876.65,92.6
1878.25,92.6
1879.85,92.6
1881.45,92.6
1883.05,92.6
1884.65,92.6
1886.25,92.6
1887.85,92.6
1889.45,93.2
1891.05,93.2
1892.65,93.2
1894.25,93.8
1895.85,93.2
1897.45,93.8
1899.05,94.4
1900.65,94.4
1902.25,95.0
1903.85,94.4
1905.45,94.4
1907.05,96.2
1908.65,96.2
1910.25,96.2
1911.85,96.8
1913.45,97.4
1915.05,97.4
1916.65,98.0
1918.25,98.0
1919.85,98.6
1921.45,98.6
1923.05,99.2
1924.65,99.2
1926.25,99.8
1927.85,100.4
1929.45,100.4
1931.05,101.0
1932.65,101.6
1934.25,101.6
1935.85,101.6
1937.45,102.2
1939.05,102.8
1940.65,102.8
1942.25,102.8
1943.85,103.4
1945.45,103.4
1947.05,104.0
1948.65,104.0
1950.25,104.0
1951.85,104.0
1953.45,104.6
1955.05,105.8
1956.65,105.2
1958.25,105.2
1959.85,105.2
1961.45,105.8
1963.05,105.8
1964.65,105.8
1966.25,106.4
1967.85,105.8
1969.45,106.4
1971.05,106.4
1972.65,105.8
1974.25,106.4
1975.85,105.8
1977.45,105.8
1979.05,105.8
1980.65,105.8
1982.25,105.8
1983.85,106.4
1985.45,105.8
1987.05,106.4
1988.65,106.4
1990.25,105.8
1991.85,105.2
1993.45,105.2
1995.05,105.2
1996.65,105.2
1998.25,104.6
1999.85,105.2
2001.25,105.2
2002.85,104.0
2004.45,104.0
2006.05,104.0
2007.65,104.0
2009.25,104.0
2010.85,104.0
2012.45,102.8
2014.05,102.2
2015.65,101.6
2017.25,101.0
2018.85,101.6
2020.45,101.0
2022.05,100.4
2023.65,101.0
2025.25,100.4
2026.85,99.8
2028.45,99.8
2030.05,99.2
2031.65,99.8
2033.25,99.2
2034.85,98.6
2036.45,98.6
2038.05,98.0
2039.65,97.4
2041.25,97.4
2042.85,97.4
2044.45,97.4
2046.05,96.8
2047.65,97.4
2049.25,97.4
2050.85,96.8
2052.45,96.8
2054.05,96.2
2055.65,96.2
2057.25,95.6
2058.85,95.6
2060.45,95.6
2062.05,95.6
2063.65,95.0
2065.25,95.0
